name,metascore,artist_name,user_score,release_date
Ghosteen,100,Nick Cave & the Bad Seeds,User: 9.0,"Oct 4, 2019"
Titanic Rising,91,Weyes Blood,User: 8.8,"Apr 5, 2019"
Grey Area,91,Little Simz,User: 8.3,"Mar 1, 2019"
Gold & Grey,91,Baroness,User: 7.3,"Jun 14, 2019"
Jimmy Lee,90,Raphael Saadiq,User: 5.3,"Aug 23, 2019"
Eve,90,Rapsody,User: 7.9,"Aug 23, 2019"
LEGACY! LEGACY!,89,Jamila Woods,User: 8.0,"May 10, 2019"
When I Get Home,89,Solange,User: 7.5,"Mar 1, 2019"
We Are Not Your Kind,89,Slipknot,User: 8.4,"Aug 9, 2019"
Psychodrama,89,Dave,User: 7.7,"Mar 8, 2019"
All Mirrors,89,Angel Olsen,User: 7.2,"Oct 4, 2019"
Caligula,88,Lingua Ignota,User: 7.1,"Jul 19, 2019"
Designer,88,Aldous Harding,User: 8.0,"Apr 26, 2019"
Jaime,88,Brittany Howard,User: 7.8,"Sep 20, 2019"
Shepherd in a Sheepskin Vest,88,Bill Callahan,User: 7.3,"Jun 14, 2019"
U.F.O.F.,87,Big Thief,User: 8.5,"May 3, 2019"
Norman Fucking Rockwell!,87,Lana Del Rey,User: 9.2,"Aug 30, 2019"
Reward,87,Cate Le Bon,User: 8.0,"May 24, 2019"
Dogrel,87,Fontaines DC,User: 8.1,"Apr 12, 2019"
Purple Mountains,87,Purple Mountains,User: 7.8,"Jul 12, 2019"
Bandana,87,Freddie Gibbs,User: 8.6,"Jun 28, 2019"
Remind Me Tomorrow,86,Sharon Van Etten,User: 8.1,"Jan 18, 2019"
"thank u, next",86,Ariana Grande,User: 7.1,"Feb 8, 2019"
House of Sugar,86,(Sandy) Alex G,User: 8.8,"Sep 13, 2019"
All My Heroes Are Cornballs,86,JPEGMAFIA,User: 8.7,"Sep 13, 2019"
Punk,86,Chai,User: 7.1,"Mar 15, 2019"
There is No Other,86,Rhiannon Giddens,User: 7.4,"May 3, 2019"
Badbea,85,Edwyn Collins,User: tbd,"Mar 29, 2019"
Morbid Stuff,85,PUP,User: 8.1,"Apr 5, 2019"
ZUU,85,Denzel Curry,User: 8.1,"May 31, 2019"
In Cauda Venenum,85,Opeth,User: 8.5,"Sep 27, 2019"
